stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-37,37,Moulissards,47.342793,4.99901,0
4-38,38,Nachey,47.340691,4.996892,0
4-40,40,Picasso,47.337234,4.993754,0
4-42,42,Rétisseys,47.338593,4.991055,0
4-199,199,Eiffel,47.281094,5.050074,0
4-309,309,Route de Beaune,47.287605,5.01363,0
4-506,506,Vieux Bourg,47.291504,5.003454,0
4-580,580,Malines,47.348621,5.074337,0
4-573,573,Quignard,47.349701,5.069028,0
4-1018,1018,La Flamme,47.345554,4.964492,0
4-1017,1017,Courtois,47.344006,4.96525,0
4-547,547,Mayence,47.339149,5.064225,0
4-1015,1015,Victor Hugo,47.340687,4.970383,0
4-1014,1014,Plombières Mairie,47.339863,4.972911,0
4-1013,1013,Vallon,47.338875,4.975656,0
4-1012,1012,Combe aux Fées,47.337334,4.979671,0
4-1009,1009,Seize Vannes,47.332172,4.990087,0
4-1008,1008,Parc à Bateaux,47.329842,4.998231,0
4-1006,1006,CH La Chartreuse,47.322655,5.010938,0
4-1297,1297,Beauregard,47.28083,5.053618,0
4-745,745,Transvaal,47.315342,5.039292,0
4-739,739,Mazières,47.336205,5.039752,0
4-740,740,Houblonnière,47.332966,5.038913,0
4-973,973,Rossignol Eiffel,47.312359,5.010145,0
4-679,679,1er Mai Foyer,47.314899,5.030601,0
4-901,901,Alger,47.311707,5.032783,0
4-744,744,Petit-Cîteaux,47.315193,5.034203,0
4-875,875,Chevreul Piscine,47.306931,5.044147,0
4-876,876,Chancenotte,47.305828,5.047042,0
4-877,877,Collège Lentillères,47.305107,5.052073,0
4-878,878,Péjoces,47.310623,5.060175,0
4-879,879,Mansart,47.313007,5.062851,0
4-881,881,Jeanne d'Arc,47.318249,5.065408,0
4-865,865,CHU - Hôpitaux,47.319016,5.065315,0
4-862,862,Laplace,47.332462,5.063036,0
4-971,971,Saint Exupéry,47.336864,5.055012,0
4-970,970,Junot,47.339527,5.045534,0
4-158,158,Pierrat,47.28265,5.046304,0
4-730,730,Presles,47.356003,5.034503,0
4-1432,1432,Guesde,47.285202,5.068642,0
4-1614,1614,Chenôve Centre,47.294254,5.005972,0
4-429,429,Rue du Port,47.286057,5.041185,0
4-430,430,Romelet,47.286972,5.040054,0
4-432,432,Bertin,47.293678,5.037813,1
4-1323,1323,L'Ogive,47.294132,5.127311,0
4-1265,1265,Volnay,47.311455,5.014891,0
4-969,969,Terrillon,47.336418,5.032534,0
4-968,968,Suisse,47.334854,5.024365,0
4-1383,1383,Pasteur,47.295181,5.133399,0
4-1334,1334,Molière,47.302269,5.132526,0
4-1063,1063,Collège Rostand,47.317471,5.107895,0
4-1227,1227,Févret,47.315563,5.040614,0
4-1359,1359,Prés Potets,47.355846,5.026865,0
4-1187,1187,Cromois,47.314789,5.112759,0
4-417,417,St-Martin,47.338066,5.03598,0
4-36,36,La Fillotte,47.34016,5.005538,0
4-424,424,Les Charmes,47.345467,5.024648,0
4-1274,1274,Charton,47.285522,5.020431,0
4-767,767,Grands Clos,47.367718,5.020297,0
4-433,433,La Colombière,47.297813,5.039517,0
4-729,729,Les Plantes,47.364292,5.028337,0
4-43,43,Néruda,47.340504,4.989375,0
4-58,58,Visitation,47.304394,5.119828,0
4-291,291,Stade Poussots,47.304962,5.06166,0
4-307,307,Cottin,47.346378,5.013662,0
4-305,305,Confrérie,47.343197,5.018959,0
4-1010,1010,Chérains,47.334381,4.987191,0
4-817,817,Grande Légie,47.289513,5.109092,0
4-535,535,Dallas CRI,47.335987,5.061985,0
4-59,59,Lycée de Serres,47.307938,5.116241,0
4-57,57,Bois du Roy,47.303471,5.121897,0
4-47,47,Clématites,47.29998,5.134894,0
4-1052,1052,Capucines,47.302235,5.139908,0
4-893,893,Perret,47.301876,5.142774,0
4-892,892,Géraniums,47.298939,5.143678,0
4-891,891,Artisans,47.29311,5.146124,0
4-49,49,J. Moulin,47.292152,5.134775,0
4-821,821,Bassin,47.298199,5.103138,0
4-848,848,Dorain,47.292961,5.106003,0
4-847,847,Normand,47.291618,5.110299,0
4-816,816,Le Fort,47.288158,5.10586,0
4-815,815,Mimosas,47.290031,5.102808,0
4-1053,1053,Avenue de Tavaux,47.287743,5.133936,0
4-846,846,Montots,47.281403,5.106476,0
4-1054,1054,Excellence 2000,47.283379,5.133192,0
4-810,810,Racine,47.277931,5.111176,0
4-811,811,Corneille,47.278297,5.113166,0
4-1313,1313,Changey,47.354401,4.993257,0
4-799,799,Rue de Dijon,47.349972,5.0015,0
4-800,800,Bernard,47.351196,4.999508,0
4-1121,1121,Hauteville Mairie,47.364094,4.993687,0
4-858,858,Nation,47.347198,5.044215,0
4-732,732,Coteaux du Suzon,47.350697,5.039717,0
4-731,731,Touzet du Vigier,47.352798,5.037572,0
4-669,669,La Vapeur,47.345455,5.059091,0
4-1138,1138,Bressey ZA,47.308044,5.169645,0
4-974,974,Tire Pesseau,47.315777,5.005869,0
4-1191,1191,Allende,47.321312,5.106532,0
4-1190,1190,Prévert,47.320621,5.109038,0
4-1189,1189,Camus,47.319077,5.109646,0
4-783,783,Cortots,47.353821,5.026141,0
4-426,426,Ratel,47.349628,5.028367,0
4-427,427,Belfontaine,47.352139,5.030321,0
4-1123,1123,Les Collines,47.367668,4.990923,0
4-822,822,Site funéraire Dijonmétropole,47.305206,5.092716,0
4-1311,1311,Alisiers,47.347057,5.00142,0
4-665,665,Churchill,47.353004,5.05341,0
4-666,666,Granville,47.350014,5.051907,0
4-667,667,Marcel Proust,47.348869,5.055848,0
4-463,463,Petit Ouges,47.254292,5.086114,0
4-464,464,De Gaulle,47.257435,5.08264,0
4-465,465,Ouges Mairie,47.262527,5.07514,0
4-466,466,Tilleul,47.26355,5.070736,0
4-1037,1037,Ecluse,47.279087,5.062643,0
4-1044,1044,Terminal,47.277992,5.069808,0
4-1140,1140,La Pringolle,47.232658,5.061679,0
4-1142,1142,Colleys,47.25732,5.04752,0
4-1034,1034,Perrigny Mairie,47.265778,5.006706,0
4-1033,1033,Tourelle,47.26704,5.005394,0
4-1032,1032,Terreau du Moulin,47.269733,5.00775,0
4-1031,1031,Lapostolet,47.273289,5.009634,0
4-1030,1030,Vignery,47.272686,5.006113,0
4-1029,1029,CAT -  ESAT,47.274097,5.006156,0
4-1028,1028,Cap-Sud,47.278282,5.008984,0
4-962,962,Dardelain,47.278503,5.009881,0
4-1251,1251,Colombier,47.269653,4.990847,0
4-1250,1250,Méchalot,47.271873,4.991354,0
4-1249,1249,St-Vincent,47.27515,4.994492,0
4-923,923,Limburgerhof,47.291977,5.015317,0
4-922,922,Ferry,47.295017,5.017414,0
4-925,925,Collège Aymé,47.280235,5.003077,0
4-926,926,Rameau,47.278484,5.000185,0
4-378,378,Opaline,47.33308,5.090553,0
4-377,377,Marie de Bourgogne,47.33427,5.088867,0
4-1081,1081,Préfecture,47.324276,5.04218,0
4-1082,1082,Notre Dame,47.322853,5.041089,0
4-1084,1084,Darcy,47.322945,5.034845,0
4-1085,1085,St-Bénigne,47.321728,5.033725,0
4-1091,1091,Tivoli,47.31675,5.036915,0
4-1092,1092,Dumay,47.318668,5.038322,0
4-1093,1093,Cordeliers,47.318844,5.040078,0
4-1208,1208,Brossolette,47.342079,4.990897,0
4-1205,1205,Milsand,47.308243,5.040349,0
4-1224,1224,Suquet,47.316036,5.033861,0
4-1270,1270,Sembat,47.297634,5.021727,0
4-1278,1278,Claudel,47.306629,4.997473,0
4-1279,1279,Divio,47.304138,4.998156,0
4-1298,1298,Verriers,47.300777,5.03632,0
4-1295,1295,Ateliers APF,47.290028,5.048768,0
4-1312,1312,Daix Mairie,47.352409,4.997701,0
4-1397,1397,Chambertin,47.366966,4.998692,0
4-1396,1396,La Paisse,47.368465,4.987956,0
4-1332,1332,Champs Creux,47.300652,5.122796,0
4-1402,1402,York,47.33099,5.059042,0
4-1389,1389,Pompon,47.333427,5.023353,0
4-1641,1641,Quetigny C. Cial,47.311481,5.103548,0
4-1656,1656,Tirbaude,47.328854,5.08921,0
4-15009,15009,Pièce Léger,47.277447,5.015462,0
4-1634,1634,La Combe,47.276241,5.118945,0
4-1633,1633,Neuilly Liberté,47.280014,5.107316,0
4-1678,1678,Beaux Arts,47.322258,5.042223,0
4-1679,1679,Cordeliers,47.318939,5.040996,0
4-1680,1680,Roussin,47.319851,5.038951,0
4-1681,1681,Bossuet,47.320805,5.037424,0
4-1713,1713,Fauconnet,47.338043,5.039633,0
4-10037,10037,Rente Neuve,47.276043,4.928332,0
4-10004,10004,A. Patte,47.278023,4.919091,0
4-10005,10005,Les Pins,47.294628,4.937171,0
4-10006,10006,Corcelles les Monts,47.295341,4.940222,0
4-10007,10007,Combe à la Serpent,47.301594,4.961087,0
4-10026,10026,St-Vincent de Paul,47.303318,4.990361,0
4-10042,10042,Bourvil,47.291016,5.130033,0
4-10043,10043,Trianon,47.288322,5.127894,0
4-10056,10056,Vaillant,47.329964,5.04452,0
4-10057,10057,Piot,47.306351,5.055048,0
4-695,695,Quantin,47.340832,5.057319,0
4-694,694,Joffre,47.340149,5.053471,0
4-691,691,Giraud,47.336224,5.051577,0
4-690,690,Alsace,47.334866,5.053162,0
4-689,689,Reims,47.333172,5.051991,0
4-104,104,Giono,47.352169,5.048678,0
4-633,633,Faubourg Raines,47.317432,5.026533,0
4-650,650,Rolin,47.315712,5.027757,0
4-630,630,Diebolt,47.31395,5.019079,0
4-629,629,Bourroches Eiffel,47.313282,5.01305,0
4-619,619,IME Montagne Ste-Anne,47.30162,4.990952,0
4-192,192,Valentin,47.288376,5.060391,0
4-661,661,Patte d'Oie,47.311794,5.003791,0
4-625,625,Dadolle,47.307659,4.999681,0
4-621,621,Sembel,47.304401,4.991063,0
4-1050,1050,La Garande,47.243221,5.112391,0
4-660,660,Noblemaire,47.311203,5.000506,0
4-1049,1049,Silo,47.241047,5.104704,0
4-10008,10008,Cent Ecus,47.310078,4.996215,0
4-647,647,Clos Chauveau,47.314606,5.000861,0
4-646,646,Lycée Marcs d'Or,47.315422,4.997858,0
4-645,645,Paupion,47.316231,4.995621,0
4-644,644,CFA-BTP,47.316887,4.991723,0
4-643,643,Saulx Tavannes,47.316982,4.989161,0
4-1405,1405,Duhamel,47.283974,5.056609,0
4-195,195,Longvic Mairie,47.284508,5.062985,0
4-10031,10031,Blés d'Or,47.285854,5.066612,0
4-10032,10032,Longvic centre,47.287102,5.062879,0
4-10033,10033,Pommerets,47.294155,5.055817,0
4-190,190,Tamaris,47.296463,5.054069,0
4-189,189,Bourillot,47.29821,5.052874,0
4-186,186,Chancenotte,47.305515,5.04737,0
4-185,185,Piscine Carrousel,47.307613,5.04655,0
4-184,184,Le Nôtre,47.310204,5.045411,0
4-183,183,Princes de Condé,47.313095,5.044221,0
4-181,181,Bibliothèque,47.319099,5.043334,0
4-329,329,Zipfel,47.30196,5.066337,0
4-1196,1196,Bouhey,47.291317,5.058636,0
4-327,327,Le Jolivet,47.306351,5.059216,0
4-325,325,Guibaudet,47.310482,5.053524,0
4-324,324,Prison,47.312298,5.051327,0
4-323,323,De Musset,47.314137,5.048496,0
4-453,453,Ravel,47.301395,5.039884,0
4-451,451,Attiret,47.303974,5.040901,0
4-681,681,Stéarinerie,47.304138,5.034597,0
4-447,447,INSPE,47.310215,5.038411,0
4-446,446,Bordot,47.312954,5.040151,0
4-1217,1217,Dumont,47.314091,5.041214,0
4-831,831,Parc des Sports,47.322273,5.065772,0
4-361,361,Doumer,47.321873,5.061344,0
4-360,360,Strasbourg,47.321449,5.058278,0
4-359,359,SNCF Porte Neuve,47.321552,5.055106,0
4-1373,1373,Dupuis,47.32629,5.038033,0
4-77,77,Spuller,47.326035,5.030434,0
4-76,76,Génois,47.329323,5.024947,0
4-75,75,Ziem,47.330811,5.022467,0
4-725,725,Petit Bernard,47.30706,5.034017,0
4-532,532,Place des Savoirs,47.33123,5.067647,0
4-533,533,Seguin,47.333035,5.068189,0
4-531,531,St-Bernadette,47.331367,5.065641,0
4-905,905,D'Alembert,47.331329,5.063746,0
4-1229,1229,De Brosses,47.32412,5.03689,0
4-263,263,Mairey,47.300228,5.016564,0
4-262,262,Gambetta,47.298016,5.013794,0
4-261,261,Bazin,47.295616,5.011703,0
4-258,258,Foussets,47.288696,5.006158,0
4-257,257,Curie,47.286243,5.003747,0
4-256,256,Bicentenaire,47.285286,5.005776,0
4-1357,1357,Richet,47.306335,5.015614,0
4-664,664,Roussottes,47.312286,5.006979,0
4-519,519,Croix des Valendons,47.300896,5.007984,0
4-518,518,Renan,47.299198,5.005888,0
4-517,517,Collège Chapitre,47.296364,5.004344,0
4-1439,1439,Bouteiller,47.326542,5.068704,0
4-1071,1071,Champ Prieur,47.330654,5.092639,0
4-1073,1073,Bons Compagnons,47.331539,5.0914,0
4-379,379,Paquier d'Aupré,47.331764,5.087175,0
4-372,372,Jacquat,47.331429,5.085027,0
4-483,483,Gauthier,47.331047,5.082505,0
4-366,366,Castelnau,47.329708,5.074506,0
4-178,178,SNCF Brifaut,47.32439,5.027585,0
4-177,177,Bagatelle,47.323502,5.022894,0
4-176,176,Perrières,47.322964,5.019267,0
4-174,174,Marmuzots,47.328197,5.012526,0
4-173,173,Fontaine aux Fées,47.329483,5.010605,0
4-172,172,Libération,47.33231,5.011382,0
4-781,781,Cottages,47.333199,5.008832,0
4-170,170,Côte aux Moines,47.337734,5.009191,0
4-169,169,Arbalétriers,47.338116,5.003622,0
4-168,168,Logis de Bourgogne,47.338718,4.998502,0
4-560,560,d'Arbaumont,47.313358,5.054782,0
4-561,561,Petites Roches,47.313213,5.057925,0
4-835,835,CREPS,47.311638,5.08074,0
4-1070,1070,Gendarmerie,47.317204,5.121289,0
4-1069,1069,Croix St-Martin,47.315228,5.121478,0
4-98,98,Quetignerot,47.309551,5.107908,0
4-99,99,Atria,47.308289,5.110185,1
4-1068,1068,Quetigny Mairie,47.312298,5.116057,0
4-1366,1366,IUT,47.309906,5.068807,0
4-421,421,Piscine Olympique,47.314297,5.082571,0
4-1365,1365,21ème Siècle,47.30925,5.071393,0
4-89,89,Boulanger,47.317139,5.063975,0
4-88,88,Défense,47.317238,5.060975,0
4-87,87,Creux d'Enfer,47.317486,5.058394,0
4-1603,1603,Lycée H. Fontaine,47.319145,5.051741,0
4-84,84,Lycée H. Fontaine,47.318714,5.050263,0
4-1308,1308,Champs Viaux,47.350761,4.998135,0
4-207,207,Lavoisier,47.283783,5.044046,0
4-512,512,Palissy,47.286602,5.017323,0
4-473,473,Les Jardins,47.335278,5.075758,0
4-474,474,Les Buttes,47.337551,5.080442,0
4-1307,1307,Meix Pillon,47.352379,4.994296,0
4-355,355,SNCF Vincenot,47.322227,5.02737,0
4-353,353,Albert 1er,47.322418,5.019199,0
4-352,352,CH La Chartreuse,47.322197,5.01122,0
4-351,351,Gorgets,47.320286,5.008623,0
4-348,348,Bachelard,47.318645,5.00134,0
4-345,345,Belin,47.321098,4.99957,1
4-438,438,Jura,47.341988,5.027161,0
4-439,439,Ranelagh,47.34174,5.029306,0
4-445,445,Hoin,47.333458,5.033999,0
4-753,753,Beaune,47.331421,5.038464,0
4-312,312,Mare,47.343582,5.015906,0
4-313,313,Les Créots,47.341782,5.014756,0
4-791,791,Combottes,47.339737,5.017169,0
4-316,316,Amandiers,47.337639,5.023075,0
4-320,320,Rouen,47.33065,5.032851,0
4-779,779,Dubois,47.325298,5.03233,0
4-71,71,Chaumière,47.336544,5.012733,0
4-70,70,Herriot,47.337635,5.010748,0
4-68,68,Moulissards,47.342808,4.999566,0
4-67,67,Nachey,47.34166,4.997417,0
4-65,65,Picasso,47.337353,4.994104,0
4-63,63,Rétisseys,47.338554,4.991211,0
4-161,161,Eiffel,47.280888,5.050487,0
4-513,513,Route de Beaune,47.287418,5.014335,0
4-515,515,Vieux Bourg,47.291477,5.003452,0
4-523,523,Carraz,47.300179,5.02065,0
4-586,586,Malines,47.349255,5.072753,0
4-593,593,Quignard,47.349682,5.06912,0
4-993,993,La Flamme,47.345844,4.964427,0
4-994,994,Courtois,47.34407,4.96524,0
4-548,548,Mayence,47.338921,5.063975,0
4-996,996,Victor Hugo,47.340664,4.97062,0
4-997,997,Plombières Mairie,47.339909,4.972847,0
4-998,998,Vallon,47.338795,4.975917,0
4-999,999,Combe aux Fées,47.337524,4.979125,0
4-1002,1002,Seize Vannes,47.331982,4.990488,0
4-1003,1003,Parc à Bateaux,47.32983,4.998363,0
4-1005,1005,CH La Chartreuse,47.322567,5.010841,0
4-1290,1290,Beauregard,47.281265,5.053931,0
4-748,748,Transvaal,47.315395,5.037786,0
4-755,755,Mazières,47.335632,5.03963,0
4-754,754,Houblonnière,47.333179,5.039043,0
4-981,981,Rossignol Eiffel,47.312466,5.010137,0
4-686,686,1er Mai Foyer,47.315056,5.030371,0
4-873,873,Alger,47.31218,5.032912,0
4-749,749,Petit-Cîteaux,47.315128,5.033895,0
4-871,871,Chevreul Piscine,47.307236,5.043382,0
4-870,870,Chancenotte,47.305962,5.046758,0
4-869,869,Collège Lentillères,47.305222,5.052106,0
4-322,322,Baudin,47.315441,5.045888,0
4-868,868,Péjoces,47.309715,5.058977,0
4-867,867,Mansart,47.312809,5.062483,0
4-1212,1212,Jeanne d'Arc,47.31797,5.065341,0
4-903,903,CHU - Hôpitaux,47.319843,5.065331,0
4-906,906,Laplace,47.332714,5.063115,0
4-983,983,St-Exupéry,47.336864,5.055409,0
4-985,985,Junot,47.339554,5.046317,0
4-200,200,Pierrat,47.282116,5.046819,0
4-764,764,Presles,47.355328,5.034879,0
4-1431,1431,Guesde,47.285145,5.068745,0
4-1619,1619,Chenôve Centre,47.294373,5.005621,0
4-458,458,Rue du Port,47.285759,5.041514,0
4-457,457,Romelet,47.287334,5.039583,0
4-455,455,Bertin,47.293461,5.037445,1
4-1330,1330,L'Ogive,47.294296,5.127227,0
4-1266,1266,Volnay,47.311951,5.014492,0
4-987,987,Terrillon,47.336449,5.032337,0
4-988,988,Suisse,47.334633,5.023361,0
4-1386,1386,Pasteur,47.295273,5.133338,0
4-1335,1335,Molière,47.302143,5.132586,0
4-1067,1067,Collège Rostand,47.31749,5.107909,0
4-1344,1344,Prés Potets,47.355724,5.026793,0
4-117,117,Cromois,47.314552,5.112919,0
4-443,443,St-Martin,47.337769,5.035171,0
4-69,69,La Fillotte,47.340313,5.005083,0
4-436,436,Les Charmes,47.345684,5.024301,0
4-1258,1258,Charton,47.283237,5.020395,0
4-454,454,La Colombière,47.297569,5.039942,0
4-765,765,Les Plantes,47.364784,5.028018,0
4-62,62,Néruda,47.340515,4.989296,0
4-101,101,Visitation,47.304405,5.119696,0
4-328,328,Stade Poussots,47.304615,5.062211,0
4-311,311,Cottin,47.346569,5.013619,0
4-1001,1001,Chérains,47.334236,4.987555,0
4-842,842,Grande Légie,47.289482,5.109236,0
4-0,0,Lycée de Serres,47.307827,5.116354,0
4-102,102,Bois du Roy,47.303188,5.123232,0
4-112,112,Clématites,47.299278,5.134923,0
4-1058,1058,Capucines,47.302216,5.140291,0
4-895,895,Perret,47.301762,5.142675,0
4-896,896,Géraniums,47.298958,5.143626,0
4-897,897,Artisans,47.294216,5.145759,0
4-838,838,Bassin,47.297905,5.102898,0
4-852,852,Dorain,47.292843,5.106473,0
4-853,853,Normand,47.291592,5.110258,0
4-843,843,Le Fort,47.28809,5.106081,0
4-844,844,Mimosas,47.290089,5.102679,0
4-1057,1057,Avenue de Tavaux,47.288021,5.133964,0
4-1380,1380,Montots,47.281612,5.106698,0
4-1056,1056,Excellence 2000,47.283382,5.13302,0
4-1379,1379,Racine,47.278049,5.110852,0
4-1378,1378,Corneille,47.278675,5.113225,0
4-1306,1306,Changey,47.354706,4.992597,0
4-788,788,Rue de Dijon,47.349743,5.0017,0
4-787,787,Bernard,47.350853,5.00006,0
4-884,884,Nation,47.347183,5.043645,0
4-762,762,Coteaux du Suzon,47.350777,5.040092,0
4-763,763,Touzet du Vigier,47.352631,5.037842,0
4-697,697,La Vapeur,47.346367,5.059349,0
4-1137,1137,Bressey ZA,47.309174,5.182966,0
4-980,980,Tire Pesseau,47.31601,5.005232,0
4-121,121,Allende,47.320988,5.105761,0
4-120,120,Prévert,47.320538,5.109206,0
4-119,119,Camus,47.319157,5.109703,0
4-782,782,Cortots,47.353794,5.026471,0
4-460,460,Ratel,47.349674,5.028316,0
4-459,459,Belfontaine,47.35215,5.030242,0
4-1119,1119,Place du Puits,47.365864,4.994993,0
4-1118,1118,Les Collines,47.367722,4.990966,0
4-837,837,Site funéraire Dijonmétropole,47.305058,5.09251,0
4-1309,1309,Alisiers,47.34687,5.001411,0
4-701,701,Churchill,47.352695,5.053102,0
4-700,700,Granville,47.350426,5.0521,0
4-699,699,Proust,47.349224,5.054913,0
4-470,470,Petit Ouges,47.254295,5.085956,0
4-469,469,De Gaulle,47.257549,5.082329,0
